"model","signature_rank","gene","age_only_logFC","age_only_t","age_only_p_value","age_only_adj_p_value","sex_linked_flag","module","reliability_pass","weight","rank_score","training_mean","training_sd"
"age_only_de",56,"Mutyh",5.08258835901849,3.3652583063458,0.00244892427833851,0.120140044288402,FALSE,"old_high",TRUE,17.1042226929235,17.1042226929235,1.54356164855051,1.15647718983245
"age_only_de",57,"Rgs20",5.173392256917,3.27456392619509,0.0030674751382127,0.126913964392336,FALSE,"old_high",TRUE,16.9406036605574,16.9406036605574,0.801022403147215,0.942708062397911
"age_only_de",58,"Tuba4a",2.76773893162874,5.5225552587635,9.38581509341305e-06,0.0109421538870845,FALSE,"old_high",TRUE,15.2849911917508,15.2849911917508,6.89776302491956,1.38030400076442
"age_only_de",59,"Nudt7",4.83001366185364,3.14542085337656,0.00421450771640722,0.140254972184815,FALSE,"old_high",TRUE,15.1924256940881,15.1924256940881,1.54997983176267,1.38905043611033
"age_only_de",60,"Prr13",2.21792730911635,6.56330617225418,6.75478502454275e-07,0.00337304209408382,FALSE,"old_high",TRUE,14.5569359975344,14.5569359975344,7.68346787715246,0.951335937425869
"age_only_de",61,"Fam196a",4.74211099354751,3.04428327433423,0.00539035330039811,0.156228710231465,FALSE,"old_high",TRUE,14.4363291826932,14.4363291826932,1.23902749139096,0.990777703093078
"age_only_de",62,"Pltp",3.2782142633894,4.208939985036,0.000284379683628214,0.0549663481734062,FALSE,"old_high",TRUE,13.797807092695,13.797807092695,5.16211526079966,1.77751740203223
"age_only_de",63,"Inmt",2.44243423574333,5.59631052659039,7.76459640823154e-06,0.00995731843391613,FALSE,"old_high",TRUE,13.6686204239952,13.6686204239952,10.0949158790856,1.19960737023458
"age_only_de",64,"Lcn2",6.45161626281447,2.11852298049346,0.0441415338891302,0.301743619719726,FALSE,"old_high",TRUE,13.6678973140978,13.6678973140978,3.53370639756706,2.86303142328958
"age_only_de",65,"Foxf2",4.8757260965825,2.77910066741801,0.0101438675528412,0.190141681104575,FALSE,"old_high",TRUE,13.5501336491598,13.5501336491598,1.02290180660855,1.36989976263744
"age_only_de",66,"Cygb",2.14198721667817,6.23819724394444,1.51948646092422e-06,0.00348823723993244,FALSE,"old_high",TRUE,13.362138751646,13.362138751646,7.77200314250961,1.01713173866413
"age_only_de",67,"Rhoc",2.11546350668943,6.20975284026564,1.63205111038636e-06,0.00348823723993244,FALSE,"old_high",TRUE,13.136505519143,13.136505519143,8.24726922619147,0.919478843306705
"age_only_de",68,"Ankrd33b",4.49642789209107,2.89895037186769,0.00764149947228062,0.175238283085594,FALSE,"old_high",TRUE,13.0349213098536,13.0349213098536,1.83444792347576,1.37109793162361
"age_only_de",69,"Miip",4.53128967249927,2.87174035810061,0.00815214301655321,0.17799227577411,FALSE,"old_high",TRUE,13.0126874267607,13.0126874267607,2.65919849208758,1.64837254473957
"age_only_de",70,"1810010H24Rik",4.57072011287781,2.79068224389126,0.00987182577275635,0.187828328946331,FALSE,"old_high",TRUE,12.7554274608047,12.7554274608047,2.41064708356001,1.65089310819945
"age_only_de",71,"Map1lc3a",2.20752047261995,5.7218778829081,5.627523294103e-06,0.00801859541373077,FALSE,"old_high",TRUE,12.631162568351,12.631162568351,7.90039413080695,1.02335630774116
"age_only_de",72,"Cxcl13",4.66704890046787,2.68935315383711,0.0125044202327092,0.199342505263832,FALSE,"old_high",TRUE,12.5513426795853,12.5513426795853,5.59718028847539,2.8621178423064
"age_only_de",73,"Cfl1",1.95120707476237,6.37950924953567,1.06671616988296e-06,0.00341989204064477,FALSE,"old_high",TRUE,12.447743581206,12.447743581206,8.94284557139023,0.83421436909851
"age_only_de",74,"Lect1",4.92984079864018,2.50474551750488,0.0190648298504193,0.229350260789659,FALSE,"old_high",TRUE,12.3479966424067,12.3479966424067,1.24775640729388,1.8407719859351
"age_only_de",75,"Crym",4.81970232849231,2.5064964057802,0.018989811729104,0.229213722748528,FALSE,"old_high",TRUE,12.0805665632964,12.0805665632964,1.64550123208671,1.81026147161985
"age_only_de",76,"Cdkn1c",2.24457731070616,5.2550322627633,1.87267992869417e-05,0.0150095296284837,FALSE,"old_high",TRUE,11.7953261840274,11.7953261840274,7.44968267681666,1.07702769018078
"age_only_de",77,"Cdk20",4.45972148641284,2.61967806006902,0.0146826915764037,0.209677991955235,FALSE,"old_high",TRUE,11.6830345319741,11.6830345319741,2.83833787459576,1.80505675384738
"age_only_de",78,"Hp",4.69677827144881,2.447066042291,0.0216949875699733,0.235377767002823,FALSE,"old_high",TRUE,11.4933266162326,11.4933266162326,1.07722608955895,1.55162035959404
"age_only_de",79,"Trim46",4.57253092484464,2.48933946641571,0.0197368455613024,0.229720374304014,FALSE,"old_high",TRUE,11.3825816926221,11.3825816926221,0.651552536919976,1.16184610550071
"age_only_de",80,"Rpl13a",2.07869686432531,5.46153394361757,1.09832315773552e-05,0.0112467920779538,FALSE,"old_high",TRUE,11.3528734830041,11.3528734830041,8.25318252941588,0.920148357399867
"age_only_de",81,"A330009N23Rik",4.04857846285456,2.77774355538018,0.0101762039751028,0.190141681104575,FALSE,"old_high",TRUE,11.2459127336452,11.2459127336452,2.32633232255388,1.34133159944482
"age_only_de",82,"Drap1",2.2788256965772,4.86171676831412,5.20219371416232e-05,0.0244974147032792,FALSE,"old_high",TRUE,11.0790051011145,11.0790051011145,6.32720914823482,1.00464070842516
"age_only_de",83,"Abcg1",4.15922378333064,2.63317141048231,0.0142349353020786,0.20886591569091,FALSE,"old_high",TRUE,10.9519491560643,10.9519491560643,2.20950295468751,1.81778553823765
"age_only_de",84,"Ddb2",4.96305273780807,2.17290217401183,0.0393718565873604,0.29091521197551,FALSE,"old_high",TRUE,10.7842280837185,10.7842280837185,1.62296235035473,2.17806066083488
"age_only_de",85,"Ifitm1",4.24405643591291,2.54011997460889,0.0176012270458993,0.222097143007328,FALSE,"old_high",TRUE,10.7804125262298,10.7804125262298,2.37382313116986,1.81403057616017
"age_only_de",86,"Cdo1",4.50850216881646,2.34067275838168,0.0274416233507168,0.256196398875832,FALSE,"old_high",TRUE,10.5529282076534,10.5529282076534,1.54043637199075,1.66175142951385
"age_only_de",87,"Snrpc",3.2710265672673,3.21175386893681,0.00358164455778053,0.131791879189099,FALSE,"old_high",TRUE,10.5057322328158,10.5057322328158,4.06527981794534,1.5417373987302
