"model","signature_rank","gene","age_only_logFC","age_only_t","age_only_p_value","age_only_adj_p_value","female_logFC","female_t","male_logFC","male_t","common_logFC","common_t","common_p_value","common_adj_p_value","interaction_logFC","interaction_t","sex_linked_flag","female_direction","male_direction","common_direction","age_only_direction","sex_direction_concordant","age_only_common_concordant","interaction_ratio","interaction_penalty","reliability_pass","module","weight","rank_score","training_mean","training_sd"
"factorial_medium_original",24,"Atp8b2",-6.59994195145323,-4.55481720615833,0.000115708926452471,0.0401040884547698,-5.06348711962717,-1.71272495404828,-7.47748150423827,-4.58973977124552,-6.27048431193272,-3.71521686817539,0.00115061160337367,0.204654658853153,-2.4139943846111,-0.715137157772705,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.192488655742956,0.83858240091766,TRUE,"young_high",19.5357909487259,19.5357909487259,1.56516684953363,1.8357197399403
"factorial_medium_original",25,"Gm20257",-5.92165589658741,-3.74834041654387,0.000931134162212615,0.0902589688386686,-6.54957728004445,-2.45955333468055,-5.23554164120034,-2.86460124395912,-5.89255946062239,-3.64889202752103,0.0013536853362666,0.217224773564604,1.31403563884412,0.406849875550544,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.111499556018546,0.899685469584942,TRUE,"young_high",19.3444190968259,19.3444190968259,0.459898543931098,0.751344853192251
"factorial_medium_original",26,"Vstm2b",-6.77065102463528,-3.81519802465625,0.00078486000422013,0.0845802075136046,-5.57682650215868,-1.99087489186689,-6.42927646381916,-2.94889338568435,-6.00305148298892,-3.38232216602761,0.00258820780195316,0.28368527224143,-0.852449961660481,-0.240149564677568,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.0710013809705548,0.933705612119554,TRUE,"young_high",18.95819599814,18.95819599814,1.26957477363676,1.44153124192674
"factorial_medium_original",27,"Camsap3",-6.22426223437914,-3.78122438350443,0.00085612222313321,0.0878312911156823,-5.72982772092134,-1.81480516902743,-6.56337449356228,-3.2797249456053,-6.14660110724181,-3.28865345169371,0.00324249381265054,0.300402208818331,-0.833546772640939,-0.222988804964429,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.0678054985423872,0.93650014105102,TRUE,"young_high",18.930452198559,18.930452198559,0.872622179712816,1.3285702054872
"factorial_medium_original",28,"H19",-6.15962760852834,-3.51097658167766,0.00169990469470607,0.109388869159509,-7.51781511695405,-2.58089086573114,-5.28682251259892,-2.31939397634866,-6.40231881477648,-3.46191387918955,0.00213488908042068,0.2658040540516,2.23099260435513,0.603180229291339,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.174233156350545,0.851619624766812,TRUE,"young_high",18.8755327202278,18.8755327202278,1.21226658259737,1.52687267342324
"factorial_medium_original",29,"Fastkd5",-6.61461134878595,-3.68520901636532,0.00109364306069427,0.0934991907356221,-5.95950088806134,-1.78715200910516,-6.75061751099622,-2.97458818910532,-6.35505919952878,-3.15104369468049,0.00450291730633504,0.301148299542853,-0.791116622934884,-0.196130592036084,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.062243052019916,0.941404133544054,TRUE,"young_high",18.8516829382104,18.8516829382104,1.20231588033669,1.52355284520966
"factorial_medium_original",30,"Brwd3",-7.28556820157282,-4.90210977725964,4.68296497312832e-05,0.0244974147032792,-4.43954817083445,-1.55106450137882,-8.34699208791147,-4.79949291460632,-6.39327012937296,-3.81779029598158,0.000894161365426026,0.191176465600127,-3.90744391707703,-1.16668005315239,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.305590373347003,0.765937020074992,TRUE,"young_high",18.695116904804,18.695116904804,1.01886360695336,1.3539309456965
"factorial_medium_original",31,"Mical3",-6.30332670345221,-4.24611209425239,0.000258240720352677,0.0549663481734062,-5.17031290108649,-1.83879956028496,-6.67156087042657,-3.65964624006969,-5.92093688575653,-3.53378554584903,0.0017928314928983,0.253793007989687,-1.50124796934008,-0.447993998006561,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.126774518250395,0.887489008495466,TRUE,"young_high",18.5692175727044,18.5692175727044,0.936791484061971,1.29608769134129
"factorial_medium_original",32,"Pyroxd2",-5.6616852861633,-3.371323270013,0.00241218026949373,0.120140044288402,-8.97000948326785,-3.54612748781275,-4.0249203166879,-1.87992044316226,-6.49746489997787,-3.92125886797313,0.000692768361451104,0.180682154763446,4.94508916657995,1.49219542128158,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.380539861481739,0.724354310875671,TRUE,"young_high",18.4552743236523,18.4552743236523,1.30137951349559,1.51170928341187
"factorial_medium_original",33,"Ccdc141",-5.31154569944731,-3.32753879908549,0.0026899180324418,0.123917616154594,-8.02328198731407,-3.00779378715459,-4.37727162555443,-2.25586103607413,-6.20027680643425,-3.75935040916933,0.00103242262814784,0.196742868571047,3.64601036175964,1.1053240825549,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.294019943106096,0.772785616889067,TRUE,"young_high",18.0128701056044,18.0128701056044,0.980399653475333,1.28166448388431
