"mouse","young_module_score","old_module_score","raw_score","calibrated_score","gene_coverage","weighted_coverage","young_reference_center","old_reference_center","calibration_denominator","model","age","age_months","age_group","sex","n_cells","pseudobulk_library_size","pseudobulk_detected_genes"
"3_9_M",0.457202917091199,-0.758999076379699,1.2162019934709,0.933542856132462,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","3m",3,"Young","male",17,9599638,11393
"18_46_F",-0.541898824434847,0.660593422208669,-1.20249224664352,-0.0503598388846025,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","18m",18,"Old","female",82,97642498,13280
"18_47_F",-0.581579000906097,0.840886570988592,-1.42246557189469,-0.139842975676732,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","18m",18,"Old","female",76,89804246,13216
"18_45_M",-0.596985008039879,0.515901124722737,-1.11288613276262,-0.0139088913132995,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","18m",18,"Old","male",31,108019124,11115
"18_53_M",-0.551242685573995,0.32456484680627,-0.875807532380265,0.0825325149539243,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","18m",18,"Old","male",45,87537694,12432
"24_58_M",-0.54880483351044,0.705798414716719,-1.25460324822716,-0.0715581177111813,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","24m",24,"Old","male",79,132161042,11177
"24_59_M",-0.645651910356821,-0.0714031078209361,-0.574248802535885,0.205203848138136,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","24m",24,"Old","male",68,161460489,10615
"24_60_M",-0.511271843439932,0.53323078864476,-1.04450263208469,0.0139088913132996,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","24m",24,"Old","male",91,116295606,11216
"24_61_M",-0.523997890141666,0.410255050290906,-0.934252940432572,0.0587574575116425,1,1,1.37957131027522,-1.07869438242365,2.45826569269888,"factorial_large_original","24m",24,"Old","male",79,101230452,11634
"3_38_F",0.761607978354135,-0.456096562775348,1.21770454112948,0.87461749335415,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","3m",3,"Young","female",77,79934534,12876
"3_39_F",0.722681989339099,-0.917629092035495,1.64031108137459,1.03407333522465,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","3m",3,"Young","female",53,66348808,12415
