Dedifferentiation,Inflam,Tumor
Nrcam,Hes1,Hdac2
Nrp1,Id2,Hddc2
Nrp2,Ier2,Hdgf
Ophn1,Ier3,Hnrnpa1
Plg,Ier5,Hnrnpa2b1
Pml,Ifih1,Hnrnpa3
Rasa1,Ifit2,Hnrnpc
Rtn1,Il23a,Hnrnpr
Shh,Il6st,Hnrnpu
Slit1,Irs2,Hprt1
Tle1,Jag1,Hsp90ab1
Tle3,Jun,Hspd1
Unc5c,Junb,Hspe1
Vldlr,Kdm6b,Iars1
Aph1a,Klf10,Ifrd1
Arrb1,Klf2,Ilf2
Ccnd1,Klf4,Impdh2
Dtx1,Klf9,Kars1
Dtx2,Kynu,Kpnb1
Dtx4,Lamb3,Ldha
Fbxw11,Litaf,Lsm2
Fzd5,Maff,Mrpl23
Fzd7,Map2k3,Mrpl9
Hes1,Map3k8,Mrps18b
Heyl,Marcks,Ncbp1
Lfng,Mcl1,Ncbp2
Maml2,Msc,Ndufab1
Notch3,Nfat5,Nhp2
Prkca,Nfe2l2,Nop16
Psenen,Nfil3,Npm1
Rbx1,Nfkb2,Odc1
Sap30,Nfkbie,Pabpc1
Skp1,Ninj1,Pabpc4
St3gal6,Nr4a1,Pcbp1
Tcf7l2,Nr4a2,Pgk1
Wnt2,Nr4a3,Phb1
Nanog,Panx1,Phb2
Pou5f1,Pdlim5,Pole3
Sox2,Per1,Ppia
Snca,Pfkfb3,Ppm1g
Fgf13,Phlda1,Prdx3
Fut4,Phlda2,Prpf31
Cd34,Plau,Prps2
Sall4,Plek,Psma1
Utf1,Plk2,Psma2
Zfp42,Plpp3,Psma4
,Pmepa1,Psma6
,Pnrc1,Psma7
,Ppp1r15a,Psmb2
,Ptgs2,Psmb3
,Ptx3,Psmc4
,Rcan1,Psmc6
,Rel,Psmd1
,Relb,Psmd14
,Rhob,Psmd3
,Rigi,Psmd7
,Rnf19b,Psmd8
,Sat1,Ptges3-ps
,Sdc4,Pwp1
,Serpinb2,Rack1
,Serpinb8,Rad23b
,Sgk1,Rfc4
,Slc16a6,Rnps1
,Slc2a3,Rpl14
,Slc2a6,Rpl18
,Smad3,Rpl22
,Snn,Rpl6
,Socs3,Rplp0
,Sod2,Rps10
,Spsb1,Rps2
,Sqstm1,Rps3
,Stat5a,Rps5
,Tank,Rps6
,Tap1,Rrm1
,Tgif1,Rrp9
,Tiparp,Rsl1d1
,Tnc,Ruvbl2
,Tnf,Serbp1
,Tnfaip2,Sf3a1
,Tnfaip3,Sf3b3
,Tnfaip8,Slc25a3
,Tnip1,Smarcc1
,Tnip2,Snrpa
,Traf1,Snrpa1
,Trib1,Snrpb2
,Trip10,Snrpd1
,Tsc22d1,Snrpd2
,Tubb2a,Snrpd3
,Vegfa,Snrpg
,Yrdc,Srm
,Zbtb10,Srpk1
,Zc3h12a,Srsf3
,Zfp36,Srsf7
,A2m,Ssb
,Acvrl1,Ssbp1
,Bak1,Stard7
,Cbl,Tardbp
,Ccr1,Tcp1
,Cd36,Tfdp1
,Cd38,Tomm70a
,Cd9,Trim28
,Cntfr,Tufm
,Crlf2,Txnl4a
,Csf2ra,Tyms
,Cxcl13,Uba2
,Dntt,Ube2e1
,Fas,Vbp1
,Grb2,Vdac1
,Hax1,Vdac3
,Hmox1,Xpot
,Ifngr1,Ywhae
,Il10rb,Ywhaq
,Il12rb1,Bysl
,Il13ra1,Dusp2
,Il17ra,Exosc5
,Il17rb,Farsa
,Il1r2,Grwd1
,Il2ra,Hk2
,Il2rg,Imp4
,Il3ra,Ipo4
,Il7,Las1l
,Il9r,Map3k6
,Inhbe,Mphosph10
,Irf9,Mrto4
,Itga4,Mybbp1a
,Lepr,Ndufaf4
,Ltb,Nip7
,Ltbr,Noc4l
,Myd88,Nop2
,Pdgfc,Pes1
,Pf4,Ppan
,Pim1,Pprc1
,Pla2g2a,Prmt3
