"gene","18-F-50","18-F-51","18-M-52","18-M-53","21-F-54","21-F-55","24-M-58","24-M-59","24-M-60","24-M-61","3-F-56","3-F-57"
"Atp5sl",2.02394076890271,1.96312561455695,2.19938785553751,1.82460645288314,2.12538843521981,2.09840282824097,1.67628585896544,1.36277809750906,1.29627758746587,1.7164976438622,2.55916887685737,1.98812008254771
"B3gnt8",2.62518338150546,1.96312561455695,2.02401482014375,2.74351351882994,2.32174461760279,2.23256448060574,1.75343019784318,2.01013155899488,1.80335465362504,2.4868960475097,2.72854663856221,2.733828150079
"Bckdha",4.14848302018563,4.04803524355105,4.19070508739593,4.4900207425685,4.48121410709969,4.42842645349556,4.41128135559155,4.34623069210715,4.20856401974214,4.32923241927777,4.52128487947396,4.37803414403955
"Exosc5",3.86595943345634,3.62380638709214,4.82685043961079,4.4900207425685,3.7975925209083,3.89286338303514,3.95276759765326,3.57200393481087,3.49160239155807,3.8672152995287,4.04784508934954,4.10543789861452
"Tmem91",1.31609353808951,0.841531739621085,1.23793275657809,0.524910181284566,1.29556415276901,0.713011434230347,-0.129940474899212,0.634431809219266,0.748607402608135,-0.56249451001495,0.384003985019502,0.358632438502381
"B9d2",3.70081573379677,3.98543914186042,3.94202379690656,3.95983789548479,3.78099718074804,3.82367832863301,4.00101970004293,3.62405565389734,3.79014200896947,4.15236082820063,4.36300220171559,4.10543789861452
"Tgfb1",6.23952382621843,6.08352434699938,6.33898262138381,6.4316295877308,5.85301081206222,5.86437954165863,5.72457288776256,5.70290861898249,5.90981593662191,5.98411151004598,6.12829835770806,6.21555945243631
"Ccdc97",3.91705785158854,3.35337649971985,3.56331324872949,3.46646340025543,3.50601162108062,3.25830885337238,2.98840038778831,3.32183996074601,3.3154342312727,3.43618817504239,3.25771341858194,3.80644258744071
"Hnrnpul1",3.51429485151208,2.58644394302052,1.82433476031294,1.99740161010943,3.19130920980007,3.10346785572675,3.42556171754684,3.73866910979564,3.6780259738332,3.43618817504239,3.78516157978903,3.56598212708741
"Axl",8.93446925724726,8.95495110291825,9.19156991686944,9.1354739605661,8.95406477796796,8.83634054866894,8.78929340690791,8.854217266466,8.81651366856176,8.81949814390325,8.71858356233095,8.72940388979534
"Cyp2s1",1.31609353808951,-1.36879644547216,-0.131442964989325,0.798514816584193,-0.21034066686933,0.939186114888727,0.526593864504381,0.99221974421732,0.507494280475393,-1.36879644547216,-0.406766895632688,1.12247767240419
"Cyp2f2",2.35565895980875,3.53917301783594,2.49678233950944,1.69672300697205,2.22690455237921,2.23256448060574,2.98840038778831,3.44270776450738,3.55645732839438,2.62889914730699,2.41765918452056,3.04669651669859
