"gene","direction","module","adjusted_logFC","age_rho","reliability","weight","equal_weight","training_mean","training_sd","FDR","pi_LOMO","pi_depth","pi_sex","q_g","primary_model","weighting"
"Lhx8","young_high","young_module",1.87360699277618,-0.676905377448778,1,1,1,0.163391185338455,0.844068296947362,0.723694512279891,1,1,1,1.26825464863583,TRUE,"equal_weight_sensitivity"
"Fam101a","young_high","young_module",1.59741484033912,-0.786083664134064,1,1,1,0.595865574664104,0.61937653504255,0.438698870902043,1,1,1,1.25570171083591,TRUE,"equal_weight_sensitivity"
"Sh2d5","young_high","young_module",1.80974633839537,-0.679250119277589,1,1,1,-0.620088277986253,0.753305289062716,0.827178994573417,1,1,1,1.22927041621724,TRUE,"equal_weight_sensitivity"
"Tshr","young_high","young_module",1.77834998325351,-0.676905377448778,1,1,1,-0.0679697203101601,0.80397648711886,0.465993249448045,1,1,1,1.20377466665025,TRUE,"equal_weight_sensitivity"
"Nt5dc2","young_high","young_module",1.5298317645194,-0.764248006797007,1,1,1,1.52821076166745,0.78319801408945,0.74801595287595,1,1,1,1.1691708767687,TRUE,"equal_weight_sensitivity"
"Gm525","young_high","young_module",1.60456944124435,-0.720576692122892,1,1,1,3.80221553140986,1.2316954603997,0.723694512279891,1,1,1,1.15621534025333,TRUE,"equal_weight_sensitivity"
"Cilp2","young_high","young_module",1.22532358670157,-0.938933265493466,1,1,1,6.94781829078343,1.23506974797427,0.755458728850077,1,1,1,1.15049707654787,TRUE,"equal_weight_sensitivity"
"Sprn","young_high","young_module",1.54088386187977,-0.74241234945995,1,1,1,0.471513795746398,0.552922516239441,0.685798079757188,1,1,1,1.14397120814308,TRUE,"equal_weight_sensitivity"
"Spock3","young_high","young_module",1.70190733150641,-0.65506972011172,1,1,1,2.38428757766071,0.715966950553228,0.0543856178529038,1,1,1,1.11486795930599,TRUE,"equal_weight_sensitivity"
"Kera","young_high","young_module",1.21512104328869,-0.917097608156408,1,1,1,7.33690496505391,0.840450721370252,0.723694512279891,1,1,1,1.11438460242058,TRUE,"equal_weight_sensitivity"
"Slitrk1","young_high","young_module",2.95919410852377,-0.366757235191369,1,1,1,-0.65984612469159,0.733194823304643,0.629936440809087,1,1,1,1.08530584963677,TRUE,"equal_weight_sensitivity"
"Tmem121","young_high","young_module",1.3981981666002,-0.764248006797007,1,1,1,0.0406768040782764,0.660491350004018,0.754787711670436,1,1,1,1.06857016193143,TRUE,"equal_weight_sensitivity"
"C1qtnf6","young_high","young_module",1.24519868812261,-0.851590636145236,1,1,1,4.62686855117873,1.05501711128649,0.864735145174407,1,1,1,1.06039954294555,TRUE,"equal_weight_sensitivity"
"Spink8","young_high","young_module",1.38252866472936,-0.765587618704663,1,1,1,-0.172837056234184,1.03680397908169,0.94369858725171,1,1,1,1.05844682822109,TRUE,"equal_weight_sensitivity"
"Syngr3","young_high","young_module",1.74810398422912,-0.589562748100548,1,1,1,-0.120901772612957,0.662573253170644,0.723694512279891,1,1,1,1.03061698890764,TRUE,"equal_weight_sensitivity"
"Cst6","young_high","young_module",1.27292651958484,-0.807919321471122,1,1,1,2.07503430781563,0.742426169545677,0.657967033027664,1,1,1,1.02842192998558,TRUE,"equal_weight_sensitivity"
"Sparc","young_high","young_module",1.10237270897723,-0.917097608156408,1,1,1,11.3397009508108,0.854710978043275,0.754787711670436,1,1,1,1.01098337469992,TRUE,"equal_weight_sensitivity"
"D6Mm5e","young_high","young_module",1.09538342185153,-0.917097608156408,1,1,1,2.08752523315705,0.74472605862179,0.723694512279891,1,1,1,1.00457351619422,TRUE,"equal_weight_sensitivity"
"D330050G23Rik","young_high","young_module",1.52043473641593,-0.65506972011172,1,1,1,0.389595274059484,0.87060101133135,0.723694512279891,1,1,1,0.99599075723212,TRUE,"equal_weight_sensitivity"
