biological_unit_id,dataset_id,age_group,exact_treatment_arm,analysis_role,animal_label,n_cells,qc_status,pluripotency_gene_coverage,genomic_stress_gene_coverage,pluripotency_median,pluripotency_mean,pluripotency_p95,pluripotency_high_risk_frac_p90,pluripotency_high_risk_frac_p95,pluripotency_high_risk_frac_p99,genomic_stress_median,genomic_stress_mean,genomic_stress_p95,genomic_stress_high_risk_frac_p90,genomic_stress_high_risk_frac_p95,genomic_stress_high_risk_frac_p99
GSE176206_MSC|young|Tg-/Dox+|animal_2,GSE176206_msc_sokm,young,Tg-/Dox+,SOKM,2,120,pass,1.0,0.9565217391304348,-0.06121613062336108,-0.06132666288641728,-0.03964525754375582,0.06666666666666667,0.016666666666666666,0.0,0.1336757126598817,0.13625994807940506,0.17313045570426297,0.03333333333333333,0.016666666666666666,0.0
GSE176206_MSC|young|Tg-/Dox+|animal_3,GSE176206_msc_sokm,young,Tg-/Dox+,SOKM,3,210,pass,1.0,0.9565217391304348,-0.05341395430433164,-0.05133893721366062,-0.009389192496368218,0.2571428571428571,0.1761904761904762,0.05714285714285714,0.14158455951594537,0.14592042270199207,0.18215836849082712,0.1,0.01904761904761905,0.004761904761904762
GSE176206_MSC|young|Tg-/Dox+|animal_unknown,GSE176206_msc_sokm,young,Tg-/Dox+,SOKM,unknown,144,pass,1.0,0.9565217391304348,-0.06107874694536024,-0.05619719617722536,-0.012240848302595909,0.2222222222222222,0.1388888888888889,0.041666666666666664,0.13888178554082423,0.1450983126463804,0.18455702912517002,0.125,0.020833333333333332,0.0
GSE176206_MSC|aged|NegCtrl|animal_unknown,GSE176206_msc_sokm,aged,NegCtrl,control,unknown,222,pass,1.0,0.9565217391304348,-0.05279303680972329,-0.04923047264557456,-0.00830821714177728,0.1036036036036036,0.05405405405405406,0.013513513513513514,0.1486650591939987,0.15299705948536035,0.1901360848474979,0.1036036036036036,0.05405405405405406,0.013513513513513514
GSE176206_MSC|aged|Tg+/Dox+|animal_1,GSE176206_msc_sokm,aged,Tg+/Dox+,SOKM,1,7440,pass,1.0,0.9565217391304348,-0.007836545604347656,-0.009572750721800824,0.05080788358091376,0.5845430107526882,0.5060483870967742,0.2495967741935484,0.1633079554630718,0.1635076879116028,0.19314502467112668,0.16223118279569892,0.07459677419354839,0.028225806451612902
GSE176206_MSC|aged|Tg+/Dox+|animal_2,GSE176206_msc_sokm,aged,Tg+/Dox+,SOKM,2,686,pass,1.0,0.9565217391304348,-0.011465189514814747,-0.011484415423267664,0.05110154608189727,0.5495626822157434,0.48104956268221577,0.2478134110787172,0.1623185803348752,0.16122389733571796,0.19072338001639194,0.12099125364431487,0.052478134110787174,0.016034985422740525
GSE176206_MSC|aged|Tg+/Dox+|animal_3,GSE176206_msc_sokm,aged,Tg+/Dox+,SOKM,3,55,pass,1.0,0.9565217391304348,-0.023277640928115156,-0.023982471215735223,0.024033421752043052,0.41818181818181815,0.2727272727272727,0.14545454545454545,0.15820008330042878,0.15553276252736198,0.1843636685930526,0.07272727272727272,0.01818181818181818,0.0
GSE176206_MSC|aged|Tg+/Dox+|animal_unknown,GSE176206_msc_sokm,aged,Tg+/Dox+,SOKM,unknown,216,pass,1.0,0.9565217391304348,-0.01659914867295552,-0.01583295363829406,0.04772929098224268,0.49537037037037035,0.4351851851851852,0.2222222222222222,0.1600776199578949,0.15964128075850656,0.18971918810736543,0.1388888888888889,0.046296296296296294,0.013888888888888888
GSE176206_MSC|aged|Tg+/Dox-|animal_1,GSE176206_msc_sokm,aged,Tg+/Dox-,SOKM,1,464,pass,1.0,0.9565217391304348,-0.062134193394865325,-0.05756482862474441,-0.01743709183414466,0.04310344827586207,0.028017241379310345,0.00646551724137931,0.1444243408469524,0.14799101292940361,0.18791799237956983,0.07327586206896551,0.040948275862068964,0.01293103448275862
GSE176206_MSC|aged|Tg+/Dox-|animal_2,GSE176206_msc_sokm,aged,Tg+/Dox-,SOKM,2,374,pass,1.0,0.9565217391304348,-0.06276682703830634,-0.06093180887852597,-0.023049890945001386,0.034759358288770054,0.013368983957219251,0.00267379679144385,0.13941260127988017,0.1429459461841033,0.18121480423053057,0.045454545454545456,0.013368983957219251,0.00267379679144385
GSE176206_MSC|aged|Tg+/Dox-|animal_3,GSE176206_msc_sokm,aged,Tg+/Dox-,SOKM,3,449,pass,1.0,0.9565217391304348,-0.06423465618464563,-0.06246232014964604,-0.029392818237787912,0.017817371937639197,0.008908685968819599,0.004454342984409799,0.13873505763262922,0.14195655965163567,0.1786805639738201,0.028953229398663696,0.011135857461024499,0.004454342984409799
GSE176206_MSC|aged|Tg+/Dox-|animal_unknown,GSE176206_msc_sokm,aged,Tg+/Dox-,SOKM,unknown,171,pass,1.0,0.9565217391304348,-0.06615860272997193,-0.06467930321946908,-0.03266637952948388,0.0,0.0,0.0,0.13187522112371713,0.1353090912643526,0.17021929334267047,0.005847953216374269,0.0,0.0
GSE176206_MSC|aged|Tg-/Dox+|animal_1,GSE176206_msc_sokm,aged,Tg-/Dox+,SOKM,1,357,pass,1.0,0.9565217391304348,-0.05660698264986941,-0.05220948109621921,-0.0032586500518290325,0.08123249299719888,0.058823529411764705,0.0196078431372549,0.15005006251316305,0.15280779516827908,0.1865123396458029,0.08403361344537816,0.025210084033613446,0.011204481792717087
GSE176206_MSC|aged|Tg-/Dox+|animal_2,GSE176206_msc_sokm,aged,Tg-/Dox+,SOKM,2,54,pass,1.0,0.9565217391304348,-0.03279672719338643,-0.027812072756144626,0.023796535275161353,0.3333333333333333,0.24074074074074073,0.07407407407407407,0.15425046651247196,0.1561244234287141,0.18771414214786425,0.1111111111111111,0.0,0.0
GSE176206_MSC|aged|Tg-/Dox+|animal_3,GSE176206_msc_sokm,aged,Tg-/Dox+,SOKM,3,314,pass,1.0,0.9565217391304348,-0.05321816523892006,-0.050010387652288636,-0.004948709306140878,0.09872611464968153,0.06369426751592357,0.009554140127388535,0.14775449863527138,0.15124537793865442,0.18655830738122436,0.07006369426751592,0.025477707006369428,0.012738853503184714
GSE176206_MSC|aged|Tg-/Dox+|animal_unknown,GSE176206_msc_sokm,aged,Tg-/Dox+,SOKM,unknown,467,pass,1.0,0.9565217391304348,-0.0571879506177668,-0.05505141342474654,-0.016565466725566816,0.05139186295503212,0.027837259100642397,0.0021413276231263384,0.1429067780746639,0.14693911784920535,0.17871969487694528,0.04068522483940043,0.014989293361884369,0.008565310492505354
