"gene","18-F-50","18-F-51","18-M-52","18-M-53","21-F-54","21-F-55","24-M-58","24-M-59","24-M-60","24-M-61","3-F-56","3-F-57"
"Zfpm2",5,4,23,21,30,33,19,36,15,14,24,22
"Oxr1",59,53,228,192,178,195,167,232,109,86,155,190
"Angpt1",25,15,83,56,74,75,75,82,47,46,43,73
"Eif3e",397,289,1424,1185,1570,1711,1540,1693,858,748,1208,1175
"Ttc35",69,67,334,332,332,381,376,393,180,143,253,258
"Nudcd1",10,12,76,56,47,56,40,50,27,20,38,49
"Eny2",197,126,959,764,674,794,680,671,427,374,529,575
"Ebag9",21,20,58,54,56,60,62,63,39,31,37,52
"Sybu",10,8,26,7,11,16,8,16,7,7,15,7
"Trps1",82,56,266,234,311,357,256,335,208,184,285,269
"Eif3h",543,348,2808,2483,2250,2623,2153,2481,1414,1154,1703,1867
"Utp23",24,15,93,56,71,106,93,91,39,45,82,51
"Rad21",72,55,231,216,226,237,206,249,119,123,194,181
"Aard",2,1,5,5,10,8,6,7,1,3,14,15
"Med30",58,50,269,247,259,258,228,246,121,141,198,188
"Ext1",79,51,367,313,204,220,159,209,125,125,197,251
"Tnfrsf11b",16,6,25,20,27,15,20,7,4,4,53,100
"Mal2",2,0,2,0,3,2,3,1,1,0,6,5
"Nov",204,140,379,286,812,957,499,718,367,238,531,495
"Enpp2",329,250,1346,972,1201,1419,1523,1619,747,671,887,1115
"Taf2",11,10,43,41,40,49,24,35,26,17,30,32
"Dscc1",2,3,1,4,1,4,5,12,3,2,3,2
"Gm9920",0,1,9,8,4,1,3,6,1,3,4,0
"Deptor",7,14,176,104,68,67,106,141,67,56,76,93
"Col14a1",242,233,648,689,917,924,635,832,244,342,400,758
"Mrpl13",66,44,370,355,280,290,245,262,144,99,218,237
"Mtbp",3,1,13,20,11,15,21,20,8,5,8,12
"Has2",65,46,235,187,333,407,255,270,203,163,253,184
"Has2as",8,8,26,26,34,30,32,49,30,23,33,24
"Zhx2",43,24,110,112,129,153,92,125,68,66,112,91
"Derl1",139,107,907,875,527,590,487,628,310,285,512,497
"Wdr67",1,2,9,16,23,17,9,17,5,3,17,16
"9130401M01Rik",46,41,298,257,169,156,137,176,74,80,150,170
"Zhx1",17,20,76,64,47,55,42,76,39,36,45,56
"Atad2",12,7,35,28,23,39,40,38,22,26,32,29
"Wdyhv1",9,7,39,40,30,42,36,32,13,20,22,25
"Fbxo32",5,6,24,14,26,12,16,21,6,10,28,20
"D15Ertd621e",27,26,157,103,118,101,85,81,60,69,61,76
"Tmem65",149,101,586,386,420,421,403,454,270,225,367,374
"Trmt12",1,0,6,6,2,3,4,8,6,3,4,4
"Rnf139",39,36,179,138,117,150,103,142,81,68,96,117
"Tatdn1",11,5,67,76,62,54,69,62,40,36,44,48
"Ndufb9",256,205,1668,1488,1048,1135,915,1097,583,516,917,882
"Mtss1",16,21,33,38,38,55,25,40,20,26,51,60
"Sqle",43,37,116,121,167,202,179,241,89,113,117,127
"E430025E21Rik",23,5,93,78,52,59,35,50,27,20,47,47
"Nsmce2",45,44,217,183,198,206,226,235,135,115,139,128
"Trib1",253,192,1019,584,849,1059,941,918,649,553,699,647
"Fam84b",9,1,15,12,9,16,7,5,9,6,7,5
"9930014A18Rik",2,0,5,4,3,6,4,2,4,1,3,5
"Myc",941,727,2294,1794,2889,3854,3890,3926,2445,1966,2376,2087
"Pvt1",13,6,123,67,49,45,45,52,23,28,18,43
"Fam49b",27,18,107,74,89,85,80,84,51,50,60,61
"Asap1",67,59,233,187,292,300,268,332,155,153,259,279
"Efr3a",111,77,372,284,316,386,351,389,230,199,320,327
"Tmem71",6,0,24,14,18,23,25,23,13,7,8,10
"Phf20l1",51,36,175,119,215,262,190,237,124,120,160,152
"Sla",0,0,2,2,2,3,2,5,5,4,7,3
"Wisp1",34,34,252,197,114,155,120,125,93,80,249,286
"Ndrg1",513,261,1962,1461,1665,2098,1512,1752,1187,1124,1072,1041
"St3gal1",137,94,908,528,498,477,340,391,308,202,350,366
"Zfat",4,0,21,10,11,9,5,2,5,6,4,7
"Khdrbs3",17,7,130,64,67,82,54,49,39,39,54,54
"Col22a1",57,52,338,212,99,82,95,114,111,113,332,293
"Trappc9",11,22,57,66,68,78,83,92,45,36,55,64
"Peg13",16,23,81,71,85,87,70,119,67,62,77,60
"Chrac1",94,64,493,411,271,303,274,287,195,151,244,272
"Eif2c2",17,17,43,29,85,99,75,86,67,54,68,78
"Ptk2",27,29,150,153,123,105,73,110,71,55,93,99
"Dennd3",12,2,38,22,26,28,20,22,15,13,35,15
"Slc45a4",8,9,31,31,25,25,15,24,19,15,25,13
"Ptp4a3",38,35,179,179,152,160,139,142,74,68,102,148
"Arc",76,85,296,222,90,178,295,182,104,49,122,169
"Jrk",0,1,7,4,3,2,11,9,9,3,0,7
"4930572J05Rik",6,10,43,59,36,38,25,35,26,20,27,39
"Slurp1",1,2,17,28,17,33,18,3,1,3,46,29
"Lypd2",49,27,16,35,38,31,74,50,22,26,28,24
"2300005B03Rik",1,1,4,3,7,4,1,2,4,5,3,1
"Lynx1",32,19,137,150,126,120,85,93,57,52,106,132
"Ly6d",3,8,1,1,8,1,5,12,15,15,26,6
"Ly6k",4,1,89,29,39,21,39,50,34,14,18,14
"Ly6e",561,445,3751,2931,1510,1992,1323,1986,1147,1222,2200,1759
"Ly6i",1,1,0,2,8,4,4,3,0,2,7,3
"Ly6a",1969,1639,15586,10857,9893,11761,7933,10668,4494,4419,8445,7249
"Ly6c1",1370,968,8797,6548,6156,7021,5080,6233,2832,2714,4792,3973
"Ly6c2",21,17,56,60,73,78,47,79,40,35,101,45
"Gpihbp1",39,19,190,154,133,165,73,103,54,107,68,124
"Top1mt",1,2,19,13,13,10,12,16,8,6,12,13
"Zc3h3",10,14,54,36,28,21,25,38,24,24,27,44
"Gsdmd",51,32,175,178,179,178,149,192,92,86,99,101
"Naprt1",13,9,70,76,43,77,50,54,31,23,58,54
"Eef1d",514,372,3131,2579,2307,2801,2223,2524,1379,1246,1947,1986
"Tigd5",0,1,7,7,12,12,11,11,4,8,4,6
"Pycrl",22,15,116,101,79,78,56,68,34,39,73,76
"Tsta3",21,14,107,101,79,81,65,94,33,32,68,52
"Zfp623",7,7,34,42,16,29,21,24,18,14,28,32
"Zfp707",4,4,18,18,6,15,8,18,9,5,8,8
"2410075B13Rik",3,2,6,11,4,9,0,2,3,2,3,7
"Scrib",6,5,64,51,44,35,28,30,28,20,41,38
"Puf60",186,137,675,487,520,654,487,491,326,314,469,460
"Nrbp2",24,19,91,70,54,60,51,51,67,36,33,37
"Eppk1",3,2,6,6,5,8,6,10,3,3,5,3
"Plec",195,134,695,624,614,568,329,388,279,233,461,429
"Parp10",20,13,65,55,55,63,51,60,31,53,48,42
"Grina",184,144,891,758,560,731,649,723,512,405,467,459
"Oplah",15,13,42,45,30,48,28,37,14,12,38,35
"Exosc4",35,25,167,123,78,74,88,113,66,51,87,89
"Gpaa1",36,24,190,168,105,145,103,132,73,53,115,98
"Cyc1",144,82,665,568,452,522,488,506,302,243,387,446
"Sharpin",35,19,132,100,61,81,81,87,41,45,74,63
"Maf1",93,62,402,379,271,319,219,316,177,158,247,252
"Fam203a",7,3,37,27,18,22,17,29,10,12,14,18
"Heatr7a",17,15,47,41,33,54,35,32,33,20,47,40
"Bop1",31,15,179,131,103,103,67,91,60,39,93,93
"Scx",115,43,104,314,184,189,77,99,101,68,290,403
"Hsf1",32,26,167,143,92,113,89,131,77,63,98,102
"Dgat1",27,24,124,116,105,131,123,134,70,47,83,86
"Fbxl6",26,18,165,140,93,111,100,104,65,50,95,80
"Slc52a2",8,2,84,52,35,26,28,32,18,24,33,32
"Adck5",4,4,44,40,22,26,19,36,21,10,29,23
"Cpsf1",10,8,87,60,36,62,32,56,42,23,40,39
"Vps28",145,75,633,580,507,528,538,581,277,246,405,430
"Cyhr1",42,16,116,119,101,134,105,131,82,67,118,103
"Kifc2",4,4,7,5,6,8,11,9,6,7,8,10
"Ppp1r16a",5,14,55,62,34,39,27,53,23,33,32,45
"Mfsd3",5,6,38,36,16,23,17,35,10,13,23,23
"Lrrc14",5,8,35,47,23,29,24,29,12,12,17,24
"C030006K11Rik",9,11,62,38,26,22,33,30,24,15,23,30
"Arhgap39",4,5,15,14,15,11,7,7,7,9,14,15
"Zfp251",2,3,6,4,9,6,5,11,2,2,2,8
"Commd5",3,5,21,51,22,30,10,24,16,8,19,29
"Rpl8",3045,2166,23507,17431,13931,16027,10829,13468,8694,7620,11556,11135
"Zfp647",3,0,6,8,5,5,3,11,5,3,8,6
"1110038F14Rik",41,30,226,210,138,160,99,143,73,98,151,142
"Mb",1,12,4,16,3,23,7,12,9,2,7,8
"Apol6",4,1,4,2,1,6,3,4,2,3,5,6
"Rbfox2",69,65,278,237,258,307,240,269,167,117,231,259
"Apol9a",16,5,29,40,28,39,12,18,17,16,56,30
"Apol10b",6,3,8,6,13,20,15,11,9,14,7,6
"Apol9b",10,1,26,29,11,17,9,20,10,15,29,20
"Myh9",54,44,230,192,149,155,120,153,83,66,130,107
"Txn2",139,129,914,675,556,568,405,533,336,250,389,487
"Eif3d",110,77,523,426,396,464,368,469,228,192,276,291
