"model","signature_rank","gene","age_only_logFC","age_only_t","age_only_p_value","age_only_adj_p_value","female_logFC","female_t","male_logFC","male_t","common_logFC","common_t","common_p_value","common_adj_p_value","interaction_logFC","interaction_t","sex_linked_flag","female_direction","male_direction","common_direction","age_only_direction","sex_direction_concordant","age_only_common_concordant","interaction_ratio","interaction_penalty","reliability_pass","module","weight","rank_score","training_mean","training_sd"
"factorial_large_original",131,"Gm11110",4.61704394385469,2.38076083349107,0.0250164355969494,0.241687712502759,7.72630225183962,2.82989083799684,2.946416032513,1.203409198776,5.33635914217631,2.9102625341921,0.00797385252450733,0.211726659841895,-4.77988621932662,-1.30339088985437,FALSE,1,1,1,1,TRUE,TRUE,0.447860202444793,0.690674416156645,TRUE,"old_high",10.7263160174204,10.7263160174204,1.0678356027936,1.51650336651963
"factorial_large_original",132,"Gbp8",3.26010480762895,1.70538701345049,0.100229371985033,0.40773473405743,9.9769061108666,4.45764490063436,0.863620271583943,0.432385540329586,5.42026319122527,3.61376886189072,0.00149167611006148,0.126193836179478,-9.11328583928266,-3.03798057710779,FALSE,1,1,1,1,TRUE,TRUE,0.840668125983975,0.543280989051421,TRUE,"old_high",10.6415589356888,10.6415589356888,0.56059729185274,1.20595633877239
"factorial_large_original",133,"Tmsb10",2.58439774472878,4.47527708491864,0.000138473334929441,0.02965992254108,2.68280075616324,2.78076913780056,2.54084997304697,3.17852977337434,2.61182536460511,4.16921043771195,0.000381115189648103,0.0825332668734372,-0.141950783116263,-0.113296756863985,FALSE,1,1,1,1,TRUE,TRUE,0.0271746261954039,0.973544297627311,TRUE,"old_high",10.6011668258644,10.6011668258644,6.81429832202887,1.41902773545125
"factorial_large_original",134,"Cgn",3.20137728082836,1.68106910274719,0.104911978292113,0.414586087540958,9.25710150093636,4.37535662133732,1.09847724628391,0.581894590427331,5.17778937361013,3.65213603075444,0.0013585219511943,0.121816139263709,-8.15862425465245,-2.87732886100658,FALSE,1,1,1,1,TRUE,TRUE,0.787848141176495,0.559331621611861,TRUE,"old_high",10.5769560039788,10.5769560039788,0.555580659479156,1.24345115537612
"factorial_large_original",135,"Abcg1",4.35972392492781,2.68683953116982,0.0124959516275294,0.188832097038228,4.58297059609599,1.64635189342497,4.11855299915392,2.02976807195265,4.35076179762495,2.52603517413593,0.0190220351519704,0.281154425309411,-0.46441759694207,-0.134819514366859,FALSE,1,1,1,1,TRUE,TRUE,0.0533719800315904,0.949332257698757,TRUE,"old_high",10.4333298620283,10.4333298620283,2.24174434356556,1.87783579232869
"factorial_large_original",136,"Miip",4.15510250766977,2.55059934699169,0.0170927848828654,0.209529190475468,4.72636401137935,1.65439499749033,4.06338230972352,2.07936611820022,4.39487316055143,2.53946727434518,0.0184662474586225,0.280020608573616,-0.662981701655835,-0.191543677523725,FALSE,1,1,1,1,TRUE,TRUE,0.0754267076670243,0.929863460587983,TRUE,"old_high",10.3778681397356,10.3778681397356,2.56646723440617,1.63290715550698
"factorial_large_original",137,"Tmem212",4.30441899443637,2.23171597929804,0.0346107340422777,0.270613650118887,7.33514786475412,2.47312701881723,3.09920532138845,1.3589940963694,5.21717659307129,2.78894236483177,0.0105395494461355,0.230489908720843,-4.23594254336567,-1.13220238987838,FALSE,1,1,1,1,TRUE,TRUE,0.405961161352108,0.711257200759588,TRUE,"old_high",10.3490802059085,10.3490802059085,0.591263992836685,1.17306219934855
"factorial_large_original",138,"Snrpc",3.44601990460598,3.34689678845916,0.00253192628684181,0.104059352608327,3.55456283280408,1.95551979419999,3.37203994317716,2.51270879390445,3.46330138799062,3.06564647338514,0.00554964146253734,0.191714888664432,-0.182522889626918,-0.0807828413139452,FALSE,1,1,1,1,TRUE,TRUE,0.0263509932905121,0.974325553867269,TRUE,"old_high",10.3446654758175,10.3446654758175,4.14730769374603,1.6054369657109
"factorial_large_original",139,"Gm12359",4.04483631214665,2.1266717917706,0.0432558874658112,0.290867464751311,6.85891652218348,2.65959842565157,2.890682357021,1.30897957267135,4.87479943960224,2.87154641533283,0.00871980859079824,0.217489464376859,-3.96823416516248,-1.16876281099919,FALSE,1,1,1,1,TRUE,TRUE,0.407015079011249,0.710724437084732,TRUE,"old_high",9.94887195245501,9.94887195245501,0.761822424958075,1.39893760108319
"factorial_large_original",140,"Mutyh",4.59931004764016,3.04749336258599,0.00529836934463545,0.14107637426937,3.45354520812323,1.27863372542884,5.40927616523254,2.94900525323764,4.43141068667788,2.71455211769915,0.0124817076733497,0.245733367460978,1.95573095710931,0.599011690253744,FALSE,1,1,1,1,TRUE,TRUE,0.220666834414825,0.819224354923503,TRUE,"old_high",9.854691652766,9.854691652766,1.43323903205153,1.10973608246243
"factorial_large_original",141,"Irak1bp1",4.11968782397077,2.72976770712824,0.0113064972773425,0.183386962928403,5.68690532821667,2.24710050694862,3.19351305589019,1.74186932941346,4.44020919205343,2.84166286646714,0.00934058836067665,0.219579786209076,-2.49339227232648,-0.797865587559123,FALSE,1,1,1,1,TRUE,TRUE,0.280774157669722,0.780777777262019,TRUE,"old_high",9.85152417765913,9.85152417765913,2.1670021858484,1.61416354964404
"factorial_large_original",142,"Krt18",4.71553722318601,2.21257746535337,0.0360590154551339,0.273397924373566,7.5650126970157,2.54117281690733,2.91927907287884,1.15213651653764,5.24214588494727,2.68189452816054,0.0134371144035779,0.253968207344937,-4.64573362413686,-1.18838428568355,FALSE,1,1,1,1,TRUE,TRUE,0.443113686931464,0.692946099157531,TRUE,"old_high",9.7420476931053,9.7420476931053,1.28619475404542,2.16662028473615
"factorial_large_original",143,"Gm13157",4.11830329721569,2.75261162623511,0.0107177512338562,0.179686522967609,3.69948466248922,1.51024348051708,4.18236864096298,2.26028351378569,3.9409266517261,2.5674474482147,0.0173568380358352,0.275901431569795,0.482883978473762,0.157295396220227,FALSE,1,1,1,1,TRUE,TRUE,0.0612652758960873,0.942271477935281,TRUE,"old_high",9.5340178420821,9.5340178420821,1.04433638540211,1.06667675641161
"factorial_large_original",144,"Ephb3",4.7822817298276,2.11917201194801,0.0439415404684415,0.293023014162015,7.64236565415831,2.19866642499669,3.19493749586944,1.14608667336287,5.41865157501388,2.43223874693239,0.0233591354190122,0.294989220125166,-4.44742815828887,-0.998145658660535,FALSE,1,1,1,1,TRUE,TRUE,0.410381410055514,0.709028063522646,TRUE,"old_high",9.34460297257904,9.34460297257904,2.29749105018142,1.96208650932192
"factorial_large_original",145,"Fbxl15",4.17495603466593,2.54656712096843,0.0172502450691543,0.210228517706183,5.07016218470932,1.69623984411127,3.72039129252026,1.87021060995847,4.39527673861479,2.44827521822644,0.0225578953882817,0.29391579426723,-1.34977089218906,-0.375927481038583,FALSE,1,1,1,1,TRUE,TRUE,0.153547867280205,0.866890770954971,TRUE,"old_high",9.32847905286262,9.32847905286262,3.3598051111661,1.71939877572148
"factorial_large_original",146,"Tmem9",2.04108368190633,4.43257780225125,0.000154853823348746,0.0306376407424977,2.13245143349214,3.06994294442522,2.07775684262644,3.28776049677657,2.10510413805929,4.48330310871959,0.000175274949587089,0.0603970724341266,-0.0546945908656973,-0.0582423512511807,FALSE,1,1,1,1,TRUE,TRUE,0.012990943508661,0.987175656809265,TRUE,"old_high",9.31678608463196,9.31678608463196,6.13799026341411,1.09112976528248
"factorial_large_original",147,"Ankrd33b",3.99442382342185,2.6389584410399,0.0139605910233791,0.195927105503322,3.68343902702067,1.37305063487357,4.40746462099999,2.35467542425191,4.04545182401033,2.47342487512719,0.0213524958698897,0.288508157775357,0.724025593979318,0.221337812472317,FALSE,1,1,1,1,TRUE,TRUE,0.0894863585070727,0.917863718248206,TRUE,"old_high",9.18425558475759,9.18425558475759,1.7092046961546,1.303873605176
