"gene","3_38_F","3_39_F","3_10_M","3_11_M","3_8_M","3_9_M","18_46_F","18_47_F","18_45_M","18_53_M","24_58_M","24_59_M","24_60_M","24_61_M"
"Shkbp1",51,22,168,973,235,0,666,226,9,518,0,304,40,1737
"Shmt1",318,173,92,5,398,1,657,1265,11,0,164,0,84,0
"Shmt2",3525,1563,878,14,2997,357,4189,4097,1429,2147,1977,2028,108,1491
"Shoc2",994,812,24,444,1701,98,234,1175,976,306,706,255,32,556
"Shox2",1227,1664,625,57,1030,78,3133,1889,352,199,1913,1960,501,1466
"Shpk",342,0,0,0,475,0,0,0,0,5,61,0,1768,0
"Shprh",940,253,68,87,959,7,0,206,22,33,98,642,315,19
"Shq1",172,173,262,734,97,608,1,502,197,100,6,0,0,106
"Shroom1",0,0,0,0,0,0,5,1,15,0,0,0,0,59
"Shroom2",0,0,0,2,0,86,1,0,0,0,7,0,0,53
"Shroom3",4,1,184,1,170,3,13,153,14,0,3010,1775,530,0
"Shroom4",0,28,0,0,55,0,20,0,0,0,0,0,0,0
"Siae",872,1336,1059,587,2600,105,1347,2990,4833,358,616,1032,8,2290
"Siah1a",1548,565,556,292,2197,329,1909,1310,725,734,1103,250,2433,1780
"Siah1b",160,101,0,517,35,0,81,138,0,0,0,0,978,0
"Siah2",1141,1724,315,1274,2894,103,2496,1082,1718,1563,2079,3263,1784,2538
"Siah3",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Sidt1",8,0,0,0,0,0,6,0,0,2,0,2,66,0
"Sidt2",2082,3723,2156,1102,10056,718,4733,1881,2552,4443,3420,111932,2349,945
"Sigirr",1,0,0,0,0,2,51,67,0,126,0,0,1,1
"Siglec1",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Siglec15",0,0,0,0,0,0,0,8,0,0,0,0,0,0
"Siglec5",0,0,0,0,0,0,0,10,0,0,0,0,0,0
"Siglece",0,0,0,0,2,0,0,9,0,9,0,0,0,0
"Siglecg",2,1,1,0,0,1,3,30,0,7,0,0,65,0
"Siglech",20,14,5,3,19,5,1,0,0,0,0,0,0,0
"Sigmar1",767,1300,798,2198,2527,329,3758,2705,1209,7140,2648,632,1465,3497
"Sik1",1016,2217,792,230,3732,336,2445,1486,2153,5072,2693,767,3776,3500
"Sik2",6,80,0,4,465,5,37,442,12,12,328,26,115,329
"Sik3",607,1858,439,253,3080,106,741,2121,2458,418,2160,392,157,1500
"Sike1",1538,619,1010,215,2010,306,1552,3216,5414,566,1691,320,287,1026
"Sil1",3486,1718,660,1332,2925,288,4981,3268,2059,13593,3997,1925,8001,4177
"Sim1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sim2",0,0,0,0,103,13,0,34,5,0,94,0,0,0
"Sin3a",773,1864,578,864,2612,145,1457,331,245,467,5472,765,1387,1203
"Sin3b",5302,3273,2165,1498,9061,300,9566,8837,21884,16301,29484,7709,17102,5781
"Sip1",265,135,371,70,910,6,851,1240,11,0,16,698,297,56
"Sipa1",549,1848,2250,3675,3764,744,3059,6051,1772,1225,3545,246,1171,2438
"Sipa1l1",225,1,187,44,461,0,315,508,2037,171,140,0,568,150
"Sipa1l2",90,160,1,0,130,2,86,205,2720,0,1052,328,0,109
"Sipa1l3",422,822,57,19,229,0,198,152,23,7,791,0,0,571
"Sirpa",1139,1674,1277,218,8760,303,5556,5290,6952,2412,4887,319,5325,982
"Sirpb1a",0,0,0,0,0,0,6,1,0,0,0,0,22,3
"Sirpb1b",0,0,0,0,0,0,9,0,16,0,0,0,0,8
"Sirt1",256,839,226,52,1843,95,666,1484,44,653,2440,713,182,1583
"Sirt2",5006,4734,1707,1122,3881,566,6593,7221,3716,3331,2554,12052,7281,10669
"Sirt3",656,1382,756,283,1017,11,3093,1821,99,1531,3559,5906,3665,441
"Sirt4",930,111,36,0,725,0,400,620,0,113,0,0,1182,825
"Sirt5",484,70,2,361,265,3,1395,3,1,59,951,1998,0,742
"Sirt6",106,228,69,73,233,63,366,702,276,31,187,84,670,74
"Sirt7",2176,2394,570,1217,497,169,2315,3508,760,1650,2219,1406,2699,1265
"Sis",0,0,0,0,0,0,0,0,0,0,80,0,0,0
"Sit1",1,14,25,0,0,0,566,0,0,0,0,0,0,0
"Siva1",2248,1568,1073,185,1802,197,3330,2243,3333,6278,5965,8081,3680,1701
"Six1",954,28,1081,79,1424,197,984,1000,324,575,930,1,764,1791
"Six2",96,0,94,0,67,111,0,2,0,3,0,0,86,868
"Six3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Six3os1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Six4",0,0,0,0,233,0,0,104,0,5,0,0,33,66
